province,date,cpi
MB,2023-12,158.2
MB,2024-01,157.5
MB,2024-02,158.3
MB,2024-03,159
MB,2024-04,160
MB,2024-05,161.1
MB,2024-06,160.7
MB,2024-07,162.2
MB,2024-08,161.5
MB,2024-09,160.4
MB,2024-10,161.4
MB,2024-11,161.2
MB,2024-12,160
MB,2025-01,161.7
MB,2025-02,163.8
MB,2025-03,163.8
MB,2025-04,163.3
MB,2025-05,164.2
MB,2025-06,164.3
MB,2025-07,165.3
MB,2025-08,164.8
NB,2010-01,115.4
NB,2010-02,115.6
NB,2010-03,115.8
NB,2010-04,115.8
NB,2010-05,115.7
NB,2010-06,115.7
NB,2010-07,115.9
NB,2010-08,116
NB,2010-09,116
NB,2010-10,116.1
NB,2010-11,116.7
NB,2010-12,116.6
NB,2011-01,117.2
NB,2011-02,118.2
NB,2011-03,119.4
NB,2011-04,120
NB,2011-05,120.5
NB,2011-06,119.9
NB,2011-07,120.3
NB,2011-08,120.7
NB,2011-09,120.9
NB,2011-10,120.8
NB,2011-11,121.3
NB,2011-12,120.4
NB,2012-01,121
NB,2012-02,121.3
NB,2012-03,122.3
NB,2012-04,123.1
NB,2012-05,122.7
NB,2012-06,121.6
NB,2012-07,121.4
NB,2012-08,121.9
NB,2012-09,122.7
NB,2012-10,122.5
NB,2012-11,122
NB,2012-12,121.2
NB,2013-01,121.5
NB,2013-02,123.1
NB,2013-03,123.3
NB,2013-04,122.8
NB,2013-05,122.6
NB,2013-06,122.5
NB,2013-07,122.6
NB,2013-08,123
NB,2013-09,123.5
NB,2013-10,123.5
NB,2013-11,123.5
NB,2013-12,123.5
NB,2014-01,123.4
NB,2014-02,124.4
NB,2014-03,125.1
NB,2014-04,125
NB,2014-05,125.3
NB,2014-06,124.9
NB,2014-07,124.8
NB,2014-08,124.9
NB,2014-09,125.2
NB,2014-10,125.5
NB,2014-11,124.9
NB,2014-12,124.1
NB,2015-01,123.1
NB,2015-02,124.2
NB,2015-03,125.5
NB,2015-04,124.9
NB,2015-05,126.1
NB,2015-06,126.2
NB,2015-07,126.3
NB,2015-08,126.2
NB,2015-09,125.6
NB,2015-10,125.9
NB,2015-11,125.8
NB,2015-12,125.5
NB,2016-01,126
NB,2016-02,126.4
NB,2016-03,126.9
NB,2016-04,127.7
NB,2016-05,128.1
NB,2016-06,128.5
NB,2016-07,129.4
NB,2016-08,129
NB,2016-09,129.4
NB,2016-10,129.4
NB,2016-11,128.9
NB,2016-12,128.4
NB,2017-01,130.1
NB,2017-02,130
NB,2017-03,130.5
NB,2017-04,131.2
NB,2017-05,131.2
NB,2017-06,131.1
NB,2017-07,131.2
NB,2017-08,131.3
NB,2017-09,131.6
NB,2017-10,131.4
NB,2017-11,132.4
NB,2017-12,132.1
NB,2018-01,132.5
NB,2018-02,133.5
NB,2018-03,133.8
NB,2018-04,134.1
NB,2018-05,133.9
NB,2018-06,134
NB,2018-07,134.8
NB,2018-08,134.7
NB,2018-09,134.2
NB,2018-10,135.1
NB,2018-11,134.1
NB,2018-12,133.3
NB,2019-01,134
NB,2019-02,134.7
NB,2019-03,135.9
NB,2019-04,136.4
NB,2019-05,136.7
NB,2019-06,136.3
NB,2019-07,137.1
NB,2019-08,137.4
NB,2019-09,136.6
NB,2019-10,136.8
NB,2019-11,137.3
NB,2019-12,136.4
NB,2020-01,137.3
NB,2020-02,137.6
NB,2020-03,136.6
NB,2020-04,134.6
NB,2020-05,135.6
NB,2020-06,136.6
NB,2020-07,137.1
NB,2020-08,136.6
NB,2020-09,136.3
NB,2020-10,137
NB,2020-11,136.8
NB,2020-12,136.9
NB,2021-01,138.2
NB,2021-02,138.7
NB,2021-03,139.2
NB,2021-04,140.3
NB,2021-05,141.4
NB,2021-06,141.5
NB,2021-07,142.5
NB,2021-08,143
NB,2021-09,143.3
NB,2021-10,144.5
NB,2021-11,144.6
NB,2021-12,144.3
NB,2022-01,145.5
NB,2022-02,147
NB,2022-03,149.5
NB,2022-04,150.9
NB,2022-05,153.8
NB,2022-06,154.4
NB,2022-07,153.9
NB,2022-08,153.6
NB,2022-09,153.1
NB,2022-10,154.4
NB,2022-11,155.9
NB,2022-12,153.4
NB,2023-01,154.9
NB,2023-02,155.6
NB,2023-03,155.8
NB,2023-04,157.4
NB,2023-05,157.3
NB,2023-06,157.6
NB,2023-07,158.3
NB,2023-08,158.9
NB,2023-09,159.3
NB,2023-10,158.8
NB,2023-11,158.5
NB,2023-12,157.8
NB,2024-01,158.5
NB,2024-02,158.9
NB,2024-03,159.8
NB,2024-04,162
NB,2024-05,161.9
NB,2024-06,162
NB,2024-07,162.9
NB,2024-08,161.8
NB,2024-09,160.7
NB,2024-10,161.6
NB,2024-11,161.6
NB,2024-12,160.3
NB,2025-01,159.9
NB,2025-02,162
NB,2025-03,162.8
NB,2025-04,162.4
NB,2025-05,163.4
NB,2025-06,164
NB,2025-07,164.7
NB,2025-08,164.4
NL,2010-01,116.5
NL,2010-02,116.3
NL,2010-03,117.1
NL,2010-04,117
NL,2010-05,117.2
NL,2010-06,117.2
NL,2010-07,117.6
NL,2010-08,117.8
NL,2010-09,117.8
NL,2010-10,118
NL,2010-11,118.1
NL,2010-12,118.1
NL,2011-01,119
NL,2011-02,119.7
NL,2011-03,120.9
NL,2011-04,121.5
NL,2011-05,121.5
NL,2011-06,120.9
NL,2011-07,121.6
NL,2011-08,122
NL,2011-09,122.3
NL,2011-10,122.1
NL,2011-11,122.9
NL,2011-12,121.9
NL,2012-01,122.5
NL,2012-02,123
NL,2012-03,123.9
NL,2012-04,125.2
NL,2012-05,124.5
NL,2012-06,123.5
NL,2012-07,123.6
NL,2012-08,124
NL,2012-09,124.5
NL,2012-10,124.8
NL,2012-11,124.3
NL,2012-12,123.5
NL,2013-01,123.6
NL,2013-02,125.8
NL,2013-03,125.9
NL,2013-04,125.9
NL,2013-05,125.9
NL,2013-06,126
NL,2013-07,126.1
NL,2013-08,126
NL,2013-09,126.6
NL,2013-10,126.7
NL,2013-11,127
NL,2013-12,126.6
NL,2014-01,126.7
NL,2014-02,127.6
NL,2014-03,128.4
NL,2014-04,128.8
NL,2014-05,129.2
NL,2014-06,129.1
NL,2014-07,128.9
NL,2014-08,129.1
NL,2014-09,129.1
NL,2014-10,129
NL,2014-11,127.9
NL,2014-12,126.8
NL,2015-01,126.2
NL,2015-02,127.5
NL,2015-03,128.9
NL,2015-04,128.3
NL,2015-05,129.6
NL,2015-06,129.9
NL,2015-07,129.8
NL,2015-08,130
NL,2015-09,129.6
NL,2015-10,129.7
NL,2015-11,129.3
NL,2015-12,128.6
NL,2016-01,129.2
NL,2016-02,129.6
NL,2016-03,130.3
NL,2016-04,130.9
NL,2016-05,131.5
NL,2016-06,133
NL,2016-07,134.2
NL,2016-08,133.9
NL,2016-09,134.5
NL,2016-10,134.9
NL,2016-11,134
NL,2016-12,133.9
NL,2017-01,135.3
NL,2017-02,135
NL,2017-03,135.3
NL,2017-04,135.6
NL,2017-05,135.4
NL,2017-06,135
NL,2017-07,135.5
NL,2017-08,135.5
NL,2017-09,136.4
NL,2017-10,136.1
NL,2017-11,136.7
NL,2017-12,136.2
NL,2018-01,136.8
NL,2018-02,137.3
NL,2018-03,137.5
NL,2018-04,137.7
NL,2018-05,137.8
NL,2018-06,138.1
NL,2018-07,139.1
NL,2018-08,138.9
NL,2018-09,138.3
NL,2018-10,139
NL,2018-11,137.8
NL,2018-12,136.9
NL,2019-01,137
NL,2019-02,138
NL,2019-03,139.1
NL,2019-04,139.7
NL,2019-05,140
NL,2019-06,139.4
NL,2019-07,140.1
NL,2019-08,139.9
NL,2019-09,139
NL,2019-10,139.7
NL,2019-11,139.9
NL,2019-12,139.6
NL,2020-01,140
NL,2020-02,140.3
NL,2020-03,139.2
NL,2020-04,137.6
NL,2020-05,138.2
NL,2020-06,139.5
NL,2020-07,139.6
NL,2020-08,139.1
NL,2020-09,139.4
NL,2020-10,140.5
NL,2020-11,141
NL,2020-12,140.4
NL,2021-01,142.1
NL,2021-02,142
NL,2021-03,142.9
NL,2021-04,143.5
NL,2021-05,144.3
NL,2021-06,144.4
NL,2021-07,145.8
NL,2021-08,145.8
NL,2021-09,145.6
NL,2021-10,146.8
NL,2021-11,146.9
NL,2021-12,146.3
NL,2022-01,147.8
NL,2022-02,149.3
NL,2022-03,151.9
NL,2022-04,153
NL,2022-05,155.8
NL,2022-06,156.2
NL,2022-07,155.9
NL,2022-08,155.1
NL,2022-09,154.5
NL,2022-10,156.4
NL,2022-11,156.8
NL,2022-12,154.6
NL,2023-01,155.9
NL,2023-02,157.4
NL,2023-03,157
NL,2023-04,158.3
